"ID of node","ID of scope"
4193,4188
4194,4188
4200,4198
4204,4198
4205,4198
4211,4209
4214,4209
4217,4209
4221,4209
4222,4209
4223,4209
4224,4209
4229,4209
4233,4198
4236,4198
4237,4198
4239,4198
4242,4198
4245,4198
4246,4198
4247,4198
4251,4198
4252,4198
4253,4198
4257,4198
4260,4198
4263,4198
4264,4198
4265,4198
4266,4198
4270,4198
4271,4198
4273,4198
4274,4198
4275,4198
4278,4198
4279,4198
4280,4198
4284,4198
4287,4198
4290,4198
4291,4198
4294,4198
4296,4198
4297,4198
4298,4198
4299,4198
4300,4198
4305,4198
4307,4198
4309,4198
4310,4198
4311,4198
4312,4198
4313,4198
4318,4198
4319,4198
4321,4198
4324,4198
4326,4198
4329,4198
4333,4198
4334,4198
4335,4198
4336,4198
4340,4198
4341,4198
4342,4198
4346,4198
4351,4198
4353,4188
