"ID of id","kind","ID of col2","idx"
4194,10,4193,1
4197,18,4196,1
4200,18,4196,2
4202,18,4196,3
4204,18,4196,4
4206,18,4196,5
4208,18,4196,6
4211,18,4196,7
4213,18,4196,8
4215,18,4196,9
4217,18,4196,10
4219,18,4196,11
4221,19,4196,12
4225,18,4224,0
4228,18,4224,1
4231,18,4224,2
4234,18,4224,3
4237,18,4224,4
4240,18,4224,5
4243,18,4224,6
4246,18,4224,7
4249,18,4224,8
4252,18,4224,9
4255,18,4224,10
4258,18,4224,11
4261,18,4224,12
4264,18,4223,4
4269,18,4268,1
4273,4,4272,1
4274,0,4273,2
4275,4,4274,2
4276,18,4275,2
4280,18,4279,0
4283,18,4279,1
4288,18,4287,1
4291,18,4290,1
4295,4,4294,1
4296,0,4295,2
4297,4,4296,2
4298,18,4297,2
4301,18,4300,0
4303,18,4300,1
4308,18,4307,1
4311,6,4310,1
4312,18,4311,2
4317,18,4316,0
4321,4,4320,1
4322,0,4321,2
4323,0,4322,2
4324,18,4323,2
4330,18,4329,0
4333,18,4332,1
4336,0,4335,0
4337,18,4336,2
4341,4,4340,1
4342,0,4341,2
4343,18,4342,2
4347,0,4346,0
4348,18,4347,2
4351,18,4346,1
4353,18,4346,2
4356,6,4355,1
4357,0,4356,2
4358,18,4357,2
4364,18,4363,0
4368,6,4367,1
4369,18,4368,2
4374,18,4373,0
4378,4,4377,1
4379,18,4378,2
4383,0,4382,0
4384,0,4383,2
4385,18,4384,2
4389,25,4382,1
4391,18,4390,0
4394,6,4393,1
4395,18,4394,2
4400,18,4399,0
4402,25,4393,2
4409,4,4408,1
4410,0,4409,2
4411,18,4410,2
4416,18,4415,0
4420,7,4419,1
4423,18,4422,1
4425,25,4422,2
4427,18,4426,0
4432,18,4431,1
4437,28,4436,1
4439,4,4437,3
4440,0,4439,2
4441,0,4440,2
4442,18,4441,2
4448,18,4447,0
4452,0,4451,1
4453,18,4452,2
4458,4,4457,1
4459,0,4458,2
4460,0,4459,2
4461,18,4460,2
4466,0,4465,0
4467,0,4466,2
4468,18,4467,2
4472,18,4465,1
4475,18,4474,0
4478,4,4477,1
4479,0,4478,2
4480,0,4479,2
4481,18,4480,2
4486,18,4485,0
4488,1,4477,2
4489,25,4488,2
4491,18,4488,4
4494,4,4493,1
4495,18,4494,2
4499,18,4498,0
4501,18,4493,2
4506,4,4505,1
4507,0,4506,2
4508,18,4507,2
4513,4,4512,0
4514,0,4513,2
4515,18,4514,2
4519,18,4518,0
4522,18,4521,1
4526,18,4525,1
4529,26,4528,0
4530,18,4529,2
4532,25,4529,3
4535,18,4534,1
4539,18,4538,1
4542,26,4541,0
4543,18,4542,2
4545,25,4542,3
4548,26,4547,1
4549,18,4548,2
4551,25,4548,3
4554,18,4553,0
4557,4,4556,1
4558,0,4557,2
4559,18,4558,2
4563,25,4562,0
4564,18,4562,1
4567,18,4566,0
4571,4,4570,1
4572,0,4571,2
4573,18,4572,2
4577,26,4576,0
4578,18,4577,2
4580,25,4577,3
4582,18,4576,1
4585,26,4584,0
4586,18,4585,2
4588,25,4585,3
4591,26,4590,1
4592,18,4591,2
4594,25,4591,3
4597,18,4596,0
4601,4,4600,1
4602,0,4601,2
4603,18,4602,2
4607,18,4606,0
4610,27,4609,0
4612,18,4611,0
4615,18,4611,1
4618,18,4611,2
4623,2,4622,1
4626,6,4625,0
4627,18,4626,2
4632,18,4631,0
4634,6,4625,1
4635,18,4634,2
4640,25,4639,0
4643,2,4642,1
