"ID of predecessor","ID of successor"
5113,5124
5134,5140
5153,5164
5156,5164
5182,5204
5184,5194
5221,5430
5226,5236
5249,5269
5306,5342
5311,5342
5315,5323
5318,5323
5329,5348
5333,5348
5344,5348
5358,5365
5362,5365
5367,5385
5370,5385
5376,5379
5396,5225
5401,5406
5430,5440
5453,5473
5510,5557
5515,5557
5519,5531
5537,5567
5541,5567
5571,5572
5572,5573
5579,5595
5582,5595
5597,5615
5600,5615
5606,5609
5626,5429
5631,5636
